"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Application Number / Monograph ID","Labeler Name","Product NDC","Non Proprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through"
"ENDOCET","71335-2182-2","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","71335-2182","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/07/2022","N/A","ANDA","120 TABLET in 1 BOTTLE (71335-2182-2)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","71335-2182-3","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","71335-2182","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/07/2022","N/A","ANDA","90 TABLET in 1 BOTTLE (71335-2182-3)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","71335-2182-4","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","71335-2182","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/12/2024","N/A","ANDA","28 TABLET in 1 BOTTLE (71335-2182-4)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","71335-2182-5","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","71335-2182","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/28/2022","N/A","ANDA","60 TABLET in 1 BOTTLE (71335-2182-5)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","71335-2182-6","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","71335-2182","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/12/2024","N/A","ANDA","20 TABLET in 1 BOTTLE (71335-2182-6)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","71335-2182-7","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","71335-2182","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/12/2024","N/A","ANDA","45 TABLET in 1 BOTTLE (71335-2182-7)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","71335-2182-8","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","71335-2182","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/12/2024","N/A","ANDA","75 TABLET in 1 BOTTLE (71335-2182-8)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","71335-2182-9","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","71335-2182","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/12/2024","N/A","ANDA","100 TABLET in 1 BOTTLE (71335-2182-9)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"ENDOCET","72162-1728-1","325mg/1, 10 mg/1","TABLET","ORAL","ANDA040330","Bryant Ranch Prepack","72162-1728","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/27/2024","N/A","ANDA","100 TABLET in 1 BOTTLE (72162-1728-1)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Nalocet","72245-193-03","300mg/1, 2.5 mg/1","TABLET","ORAL","ANDA040608","Forte Bio-Pharma LLC","72245-193","oxycodone and acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/23/2018","N/A","ANDA","30 TABLET in 1 BOTTLE, PLASTIC (72245-193-03)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Nalocet","72245-193-10","300mg/1, 2.5 mg/1","TABLET","ORAL","ANDA040608","Forte Bio-Pharma LLC","72245-193","oxycodone and acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/23/2018","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (72245-193-10)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"OXAYDO","69344-113-11","5mg/1","TABLET","ORAL","NDA202080","Zyla Life Sciences US LLC","69344-113","OXYCODONE HYDROCHLORIDE","OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/01/2015","N/A","NDA","100 TABLET in 1 BOTTLE (69344-113-11)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"OXAYDO","69344-213-11","7.5mg/1","TABLET","ORAL","NDA202080","Zyla Life Sciences US LLC","69344-213","OXYCODONE HYDROCHLORIDE","OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/01/2015","N/A","NDA","100 TABLET in 1 BOTTLE (69344-213-11)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"OXYCODONE AND ACETAMINOPHEN","0904-7093-61","325mg/1, 5 mg/1","TABLET","ORAL","ANDA207510","Major Pharmaceuticals","0904-7093","oxycodone and acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","06/01/2019","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-7093-61)  / 1 TABLET in 1 BLISTER PACK","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"OXYCODONE AND ACETAMINOPHEN","0904-7094-61","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA207510","Major Pharmaceuticals","0904-7094","oxycodone and acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","06/01/2019","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-7094-61)  / 1 TABLET in 1 BLISTER PACK","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"OXYCODONE AND ACETAMINOPHEN","0904-7095-61","325mg/1, 10 mg/1","TABLET","ORAL","ANDA207510","Major Pharmaceuticals","0904-7095","oxycodone and acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","06/01/2019","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-7095-61)  / 1 TABLET in 1 BLISTER PACK","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-184-01","325mg/1, 2.5 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-184","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","100 TABLET in 1 BOTTLE (10702-184-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-184-10","325mg/1, 2.5 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-184","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","1000 TABLET in 1 BOTTLE (10702-184-10)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-184-50","325mg/1, 2.5 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-184","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","500 TABLET in 1 BOTTLE (10702-184-50)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-185-01","325mg/1, 5 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-185","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","100 TABLET in 1 BOTTLE (10702-185-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-185-10","325mg/1, 5 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-185","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","1000 TABLET in 1 BOTTLE (10702-185-10)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-185-50","325mg/1, 5 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-185","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","500 TABLET in 1 BOTTLE (10702-185-50)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-186-01","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-186","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","100 TABLET in 1 BOTTLE (10702-186-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-186-10","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-186","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","1000 TABLET in 1 BOTTLE (10702-186-10)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-186-50","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-186","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","500 TABLET in 1 BOTTLE (10702-186-50)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-187-01","325mg/1, 10 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-187","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","100 TABLET in 1 BOTTLE (10702-187-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-187-10","325mg/1, 10 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-187","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","1000 TABLET in 1 BOTTLE (10702-187-10)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","10702-187-50","325mg/1, 10 mg/1","TABLET","ORAL","ANDA210644","KVK-Tech, Inc.","10702-187","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE","HUMAN PRESCRIPTION DRUG","02/09/2018","N/A","ANDA","500 TABLET in 1 BOTTLE (10702-187-50)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"OXYCODONE AND ACETAMINOPHEN","10702-238-50","325mg/5mL, 5 mg/5mL","SOLUTION","ORAL","ANDA211499","KVK-Tech, Inc.","10702-238","oxycodone and acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/05/2019","N/A","ANDA","500 mL in 1 BOTTLE (10702-238-50)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-043-01","325mg/1, 2.5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-043","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","100 TABLET in 1 BOTTLE (13107-043-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-043-05","325mg/1, 2.5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-043","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","500 TABLET in 1 BOTTLE (13107-043-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-043-30","325mg/1, 2.5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-043","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","30 TABLET in 1 BOTTLE (13107-043-30)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-043-99","325mg/1, 2.5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-043","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","1000 TABLET in 1 BOTTLE (13107-043-99)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-044-01","325mg/1, 5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-044","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","100 TABLET in 1 BOTTLE (13107-044-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-044-05","325mg/1, 5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-044","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","500 TABLET in 1 BOTTLE (13107-044-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-044-30","325mg/1, 5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-044","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","30 TABLET in 1 BOTTLE (13107-044-30)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-044-99","325mg/1, 5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-044","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","1000 TABLET in 1 BOTTLE (13107-044-99)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-045-01","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-045","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","100 TABLET in 1 BOTTLE (13107-045-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-045-05","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-045","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","500 TABLET in 1 BOTTLE (13107-045-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-045-30","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-045","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","30 TABLET in 1 BOTTLE (13107-045-30)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-045-99","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-045","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","1000 TABLET in 1 BOTTLE (13107-045-99)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-046-01","325mg/1, 10 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-046","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","100 TABLET in 1 BOTTLE (13107-046-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-046-05","325mg/1, 10 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-046","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","500 TABLET in 1 BOTTLE (13107-046-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-046-30","325mg/1, 10 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-046","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","30 TABLET in 1 BOTTLE (13107-046-30)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","13107-046-99","325mg/1, 10 mg/1","TABLET","ORAL","ANDA201972","Aurolife Pharma, LLC","13107-046","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/15/2013","N/A","ANDA","1000 TABLET in 1 BOTTLE (13107-046-99)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","31722-191-01","325mg/1, 2.5 mg/1","TABLET","ORAL","ANDA207419","Camber Pharmaceuticals, Inc.","31722-191","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2017","N/A","ANDA","100 TABLET in 1 BOTTLE (31722-191-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","31722-191-05","325mg/1, 2.5 mg/1","TABLET","ORAL","ANDA207419","Camber Pharmaceuticals, Inc.","31722-191","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2017","N/A","ANDA","500 TABLET in 1 BOTTLE (31722-191-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","31722-192-01","325mg/1, 5 mg/1","TABLET","ORAL","ANDA207419","Camber Pharmaceuticals, Inc.","31722-192","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2017","N/A","ANDA","100 TABLET in 1 BOTTLE (31722-192-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","31722-192-05","325mg/1, 5 mg/1","TABLET","ORAL","ANDA207419","Camber Pharmaceuticals, Inc.","31722-192","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2017","N/A","ANDA","500 TABLET in 1 BOTTLE (31722-192-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","31722-193-01","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA207419","Camber Pharmaceuticals, Inc.","31722-193","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2017","N/A","ANDA","100 TABLET in 1 BOTTLE (31722-193-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","31722-193-05","325mg/1, 7.5 mg/1","TABLET","ORAL","ANDA207419","Camber Pharmaceuticals, Inc.","31722-193","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2017","N/A","ANDA","500 TABLET in 1 BOTTLE (31722-193-05)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
"Oxycodone and Acetaminophen","31722-194-01","325mg/1, 10 mg/1","TABLET","ORAL","ANDA207419","Camber Pharmaceuticals, Inc.","31722-194","Oxycodone and Acetaminophen","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2017","N/A","ANDA","100 TABLET in 1 BOTTLE (31722-194-01)","Full Opioid Agonists [MoA], Opioid Agonist [EPC]","CII","No","12/31/2025"
